FOODID;FOODNAME;LANG
11055;VESIMELONI, KUORITTU;FI
11056;ANANAS, KUORITTU;FI
11057;AVOKADO, KUORITTU, KIVETÖN;FI
11059;TONNIKALA KESKIARVO;FI
11060;OMENA, KOTIMAINEN, KUORITTU;FI
11061;OMENA, ULKOMAINEN, KUORITTU;FI
11062;PÄÄRYNÄ, KUORITTU;FI
11063;LUUMU, KIVETÖN, KUIVATTU;FI
11064;HERKKUSIENI, SÄILYKE;FI
11065;RUUSUNMARJASOSE, SOKERITON;FI
11067;TONNIKALA, VEDESSÄ;FI
11069;VIINI, ALKOHOLITON;FI
11071;ERIKOISHEDELMÄ, EKSOOTTINEN, KESKIARVO, MANGO/PAPAIJA, KUORITTU;FI
11074;ITU, SINIMAILASEN ITU;FI
11086;PÄHKINÄ, CASHEWPÄHKINÄ;FI
11089;KIKHERNE SUOLATTOMASSA VEDESSÄ, KAHVIHERNE;FI
11090;PAPU, VALKOINEN, TOMAATTIKASTIKE;FI
11092;HERAJAUHE;FI
11130;TUOREJUUSTO, RASVAA 6-11 %;FI
11131;JUUSTO, VALKOHOME/VALKOSINIHOMEJUUSTO RASVAA 40%, VIT CASTELLO/BLÅ CASTELLO/SAGA;FI
11132;TUOREJUUSTO-KASVIRASVAA, RASVAA 24-30 %;FI
11133;JUUSTO, PUOLIKOVA JUUSTO, RASVAA 15-18 %, KEVYT, TURUNMAA/EDAM 17/ADAM/MAGRE;FI
11134;BASILIKA, TUORE;FI
11135;BAMBUNVERSO;FI
11136;KERMA, VISPIKERMA, KEVYT, RASVAA 25 %;FI
11142;MEHUJÄÄ KESKIARVO;FI
11145;RASVATON MAITO, VL, D-VITAMIINIA 1 UG;FI
11146;JUUSTO, LEIPÄJUUSTO, RASVAA 17-23 %, VL;FI
11148;JÄÄTELÖ, KERMAJÄÄTELÖPUIKKO, SUKLAINEN, KESKIARVO;FI
11149;JÄÄTELÖ, MEHUJÄÄ-JÄÄTELÖPUIKKO, KESKIARVO;FI
11150;BROILERI, MARINOITU, ILMAN NAHKAA, RAAKA;FI
11152;KERMAVIILI, RASVAA 10-12%, VL;FI
11154;VIILI, MAUSTAMATON, KEVYTVIILI, VL;FI
